Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-10011,2025-01-17,2025-01-20,CUST-652,Customer_272,Consumer,India,Mumbai,Maharashtra,West,Office Supplies,Paper,Paper Product 77,12640.87,9,0.2,-132.6
ORD-10012,2025-08-03,2025-08-05,CUST-187,Customer_249,Consumer,India,Nagpur,Maharashtra,Central,Technology,Phones,Phones Product 98,13943.57,5,0.05,-1030.9
ORD-10013,2025-09-13,2025-09-20,CUST-316,Customer_277,Home Office,India,Mumbai,Maharashtra,West,Office Supplies,Paper,Paper Product 89,14208.05,3,0.1,1952.94
ORD-10014,2024-09-10,2024-09-14,CUST-165,Customer_174,Consumer,India,Pune,Maharashtra,West,Furniture,Storage,Storage Product 76,9783.18,8,0.2,1009.32
ORD-10015,2024-02-02,2024-02-08,CUST-172,Customer_264,Consumer,India,Mumbai,Maharashtra,West,Technology,Phones,Phones Product 36,10646.83,1,0.05,-741.76
ORD-10016,2025-04-29,2025-05-06,CUST-294,Customer_49,Consumer,India,Bengaluru,Karnataka,South,Office Supplies,Binders,Binders Product 85,10877.95,10,0.2,1225.97
ORD-10017,2024-12-13,2024-12-15,CUST-354,Customer_99,Consumer,India,Chennai,Tamil Nadu,South,Furniture,Tables,Tables Product 69,7058.67,1,0.0,-513.34
ORD-10018,2025-07-17,2025-07-19,CUST-151,Customer_334,Home Office,India,Bengaluru,Karnataka,South,Furniture,Chairs,Chairs Product 108,4250.32,4,0.0,422.52
ORD-10019,2024-03-01,2024-03-04,CUST-488,Customer_2,Corporate,India,Kolkata,West Bengal,East,Technology,Phones,Phones Product 34,6155.57,8,0.05,1779.53
ORD-10020,2024-10-30,2024-11-03,CUST-159,Customer_297,Home Office,India,Chennai,Tamil Nadu,South,Furniture,Storage,Storage Product 70,14364.03,9,0.15,-435.83
ORD-10021,2025-06-04,2025-06-06,CUST-971,Customer_96,Consumer,India,Patna,Bihar,East,Technology,Phones,Phones Product 77,8804.25,9,0.2,-256.69
ORD-10022,2024-02-10,2024-02-12,CUST-529,Customer_337,Home Office,India,Kolkata,West Bengal,East,Furniture,Chairs,Chairs Product 73,14129.78,10,0.05,2268.02
ORD-10023,2025-11-18,2025-11-23,CUST-568,Customer_162,Consumer,India,Nagpur,Maharashtra,Central,Technology,Copiers,Copiers Product 2,10771.26,4,0.1,841.27
ORD-10024,2024-03-11,2024-03-15,CUST-478,Customer_146,Consumer,India,Bengaluru,Karnataka,South,Technology,Copiers,Copiers Product 57,3276.0,5,0.05,1048.21
ORD-10025,2024-04-19,2024-04-22,CUST-378,Customer_145,Home Office,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Appliances,Appliances Product 27,4560.74,2,0.05,86.7
ORD-10026,2024-02-22,2024-02-24,CUST-749,Customer_217,Corporate,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Appliances,Appliances Product 6,12808.4,9,0.15,166.57
ORD-10027,2025-03-13,2025-03-14,CUST-214,Customer_39,Home Office,India,Patna,Bihar,East,Technology,Copiers,Copiers Product 116,14698.99,3,0.15,2179.22
ORD-10028,2025-01-08,2025-01-09,CUST-466,Customer_108,Home Office,India,Mumbai,Maharashtra,West,Furniture,Storage,Storage Product 32,8332.62,7,0.05,-676.42
ORD-10029,2024-06-30,2024-07-07,CUST-125,Customer_92,Home Office,India,Patna,Bihar,East,Office Supplies,Paper,Paper Product 119,14610.17,3,0.05,4223.4
ORD-10030,2024-04-20,2024-04-27,CUST-993,Customer_20,Corporate,India,Nagpur,Maharashtra,Central,Office Supplies,Appliances,Appliances Product 29,12180.16,5,0.05,3097.64
ORD-10031,2024-07-16,2024-07-23,CUST-436,Customer_143,Consumer,India,Pune,Maharashtra,West,Furniture,Tables,Tables Product 99,12325.99,4,0.05,-1101.34
ORD-10032,2024-04-28,2024-05-03,CUST-282,Customer_298,Corporate,India,Nagpur,Maharashtra,Central,Office Supplies,Appliances,Appliances Product 5,6055.21,9,0.1,1953.75
ORD-10033,2024-04-28,2024-05-05,CUST-690,Customer_98,Corporate,India,Patna,Bihar,East,Furniture,Storage,Storage Product 6,11817.78,7,0.2,4052.39
ORD-10034,2025-11-11,2025-11-17,CUST-738,Customer_161,Home Office,India,Bengaluru,Karnataka,South,Office Supplies,Appliances,Appliances Product 109,10334.17,4,0.1,972.28
ORD-10035,2025-07-21,2025-07-24,CUST-296,Customer_216,Home Office,India,Patna,Bihar,East,Office Supplies,Paper,Paper Product 49,10036.7,6,0.15,2145.28
ORD-10036,2025-08-16,2025-08-22,CUST-576,Customer_227,Corporate,India,Pune,Maharashtra,West,Furniture,Storage,Storage Product 87,12522.51,5,0.1,-67.84
ORD-10037,2025-09-26,2025-10-02,CUST-195,Customer_121,Home Office,India,Pune,Maharashtra,West,Office Supplies,Binders,Binders Product 40,9916.88,5,0.2,1970.82
ORD-10038,2024-03-15,2024-03-23,CUST-524,Customer_323,Home Office,India,Mumbai,Maharashtra,West,Technology,Phones,Phones Product 25,788.58,8,0.2,222.68
ORD-10039,2024-08-12,2024-08-15,CUST-923,Customer_266,Corporate,India,Chennai,Tamil Nadu,South,Furniture,Chairs,Chairs Product 7,2298.81,1,0.0,575.37
ORD-10040,2025-03-29,2025-04-05,CUST-950,Customer_281,Corporate,India,Mumbai,Maharashtra,West,Furniture,Chairs,Chairs Product 115,12041.11,9,0.2,2022.35
ORD-10041,2024-09-01,2024-09-06,CUST-550,Customer_40,Home Office,India,Pune,Maharashtra,West,Furniture,Tables,Tables Product 37,11301.47,5,0.2,1334.35
ORD-10042,2025-01-27,2025-01-30,CUST-823,Customer_110,Consumer,India,Pune,Maharashtra,West,Furniture,Tables,Tables Product 54,13406.1,2,0.05,-430.69
ORD-10043,2025-08-21,2025-08-22,CUST-977,Customer_295,Corporate,India,Chennai,Tamil Nadu,South,Office Supplies,Paper,Paper Product 62,6295.04,4,0.15,473.79
ORD-10044,2025-07-13,2025-07-17,CUST-599,Customer_113,Corporate,India,Patna,Bihar,East,Furniture,Tables,Tables Product 56,12816.37,7,0.2,3029.56
ORD-10045,2024-05-10,2024-05-11,CUST-503,Customer_304,Home Office,India,Bengaluru,Karnataka,South,Furniture,Tables,Tables Product 85,10066.22,7,0.05,2800.7
ORD-10046,2025-01-23,2025-01-29,CUST-316,Customer_233,Corporate,India,Kolkata,West Bengal,East,Office Supplies,Paper,Paper Product 44,2121.92,8,0.05,-164.18
ORD-10047,2024-02-23,2024-02-29,CUST-329,Customer_333,Consumer,India,Chennai,Tamil Nadu,South,Furniture,Tables,Tables Product 100,12540.17,8,0.0,2972.78
ORD-10048,2025-04-29,2025-05-01,CUST-677,Customer_112,Corporate,India,Kolkata,West Bengal,East,Technology,Phones,Phones Product 90,12604.51,10,0.05,92.58
ORD-10049,2024-04-20,2024-04-21,CUST-419,Customer_295,Home Office,India,Nagpur,Maharashtra,Central,Technology,Copiers,Copiers Product 117,9147.99,2,0.05,3056.57
ORD-10050,2024-11-04,2024-11-06,CUST-915,Customer_290,Consumer,India,Chennai,Tamil Nadu,South,Office Supplies,Binders,Binders Product 45,1232.35,4,0.0,263.4
ORD-10051,2024-04-18,2024-04-25,CUST-470,Customer_326,Corporate,India,Chennai,Tamil Nadu,South,Technology,Copiers,Copiers Product 91,9748.39,1,0.15,2632.54
ORD-10052,2025-07-05,2025-07-13,CUST-576,Customer_224,Home Office,India,Pune,Maharashtra,West,Technology,Copiers,Copiers Product 76,7874.03,5,0.2,2076.3
ORD-10053,2025-08-06,2025-08-13,CUST-444,Customer_15,Corporate,India,Nagpur,Maharashtra,Central,Technology,Phones,Phones Product 109,4256.03,8,0.05,1011.72
ORD-10054,2025-09-02,2025-09-07,CUST-669,Customer_6,Home Office,India,Bhopal,Madhya Pradesh,Central,Furniture,Chairs,Chairs Product 25,5386.89,5,0.1,139.23
ORD-10055,2025-05-17,2025-05-25,CUST-911,Customer_9,Consumer,India,Kolkata,West Bengal,East,Office Supplies,Paper,Paper Product 38,7379.81,4,0.15,1407.01
ORD-10056,2025-06-27,2025-07-03,CUST-535,Customer_282,Corporate,India,Pune,Maharashtra,West,Office Supplies,Binders,Binders Product 46,4662.47,10,0.1,526.71
ORD-10057,2025-07-02,2025-07-05,CUST-296,Customer_111,Home Office,India,Chennai,Tamil Nadu,South,Furniture,Tables,Tables Product 62,3535.02,4,0.1,-163.32
ORD-10058,2025-12-26,2025-12-29,CUST-380,Customer_24,Consumer,India,Nagpur,Maharashtra,Central,Technology,Phones,Phones Product 71,4514.07,6,0.05,162.6
ORD-10059,2025-05-05,2025-05-13,CUST-448,Customer_95,Consumer,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Paper,Paper Product 33,1628.56,1,0.2,45.52
ORD-10060,2025-07-30,2025-08-04,CUST-187,Customer_128,Consumer,India,Bengaluru,Karnataka,South,Technology,Accessories,Accessories Product 72,7427.02,10,0.0,-235.61
ORD-10061,2025-03-15,2025-03-20,CUST-682,Customer_318,Consumer,India,Bengaluru,Karnataka,South,Office Supplies,Paper,Paper Product 79,6812.67,8,0.1,1955.75
ORD-10062,2025-07-19,2025-07-21,CUST-260,Customer_2,Corporate,India,Kolkata,West Bengal,East,Office Supplies,Binders,Binders Product 58,4043.23,2,0.05,32.1
ORD-10063,2024-08-27,2024-09-01,CUST-906,Customer_321,Home Office,India,Chennai,Tamil Nadu,South,Technology,Phones,Phones Product 85,4392.76,5,0.15,-298.57
ORD-10064,2024-03-14,2024-03-15,CUST-269,Customer_158,Home Office,India,Pune,Maharashtra,West,Technology,Copiers,Copiers Product 96,3449.66,3,0.1,938.25
ORD-10065,2025-05-20,2025-05-28,CUST-182,Customer_307,Consumer,India,Nagpur,Maharashtra,Central,Technology,Accessories,Accessories Product 114,10361.3,7,0.1,1297.36
ORD-10066,2024-01-22,2024-01-27,CUST-690,Customer_21,Consumer,India,Chennai,Tamil Nadu,South,Office Supplies,Paper,Paper Product 61,485.39,4,0.2,79.7
ORD-10067,2025-02-22,2025-02-28,CUST-428,Customer_344,Consumer,India,Chennai,Tamil Nadu,South,Technology,Copiers,Copiers Product 110,6594.69,8,0.0,735.34
ORD-10068,2024-03-31,2024-04-06,CUST-358,Customer_166,Consumer,India,Pune,Maharashtra,West,Furniture,Storage,Storage Product 99,7482.49,7,0.2,-624.69
ORD-10069,2025-09-29,2025-10-07,CUST-740,Customer_227,Consumer,India,Bengaluru,Karnataka,South,Office Supplies,Appliances,Appliances Product 27,6983.45,1,0.05,930.88
ORD-10070,2025-10-07,2025-10-11,CUST-826,Customer_82,Corporate,India,Bhopal,Madhya Pradesh,Central,Furniture,Tables,Tables Product 71,13224.61,8,0.0,-1150.66
ORD-10071,2025-10-25,2025-10-28,CUST-610,Customer_150,Home Office,India,Patna,Bihar,East,Technology,Phones,Phones Product 91,14884.63,2,0.15,4855.03
ORD-10072,2025-09-05,2025-09-08,CUST-984,Customer_36,Corporate,India,Nagpur,Maharashtra,Central,Furniture,Tables,Tables Product 99,3731.59,9,0.05,270.96
ORD-10073,2025-08-16,2025-08-24,CUST-986,Customer_77,Corporate,India,Chennai,Tamil Nadu,South,Office Supplies,Paper,Paper Product 69,12326.19,5,0.1,3412.68
ORD-10074,2024-07-12,2024-07-16,CUST-685,Customer_197,Consumer,India,Chennai,Tamil Nadu,South,Furniture,Storage,Storage Product 110,11466.8,7,0.15,3666.89
ORD-10075,2025-10-29,2025-11-01,CUST-607,Customer_19,Consumer,India,Bengaluru,Karnataka,South,Furniture,Storage,Storage Product 65,7147.35,7,0.15,2464.31
ORD-10076,2025-02-23,2025-02-26,CUST-176,Customer_241,Corporate,India,Bhopal,Madhya Pradesh,Central,Furniture,Chairs,Chairs Product 44,7936.67,8,0.0,1786.54
ORD-10077,2025-05-14,2025-05-15,CUST-732,Customer_36,Consumer,India,Bengaluru,Karnataka,South,Furniture,Storage,Storage Product 81,12904.2,7,0.1,2349.33
ORD-10078,2025-12-11,2025-12-16,CUST-129,Customer_24,Corporate,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Binders,Binders Product 102,6566.17,2,0.0,654.35
ORD-10079,2025-11-29,2025-12-02,CUST-274,Customer_90,Consumer,India,Patna,Bihar,East,Furniture,Tables,Tables Product 79,6517.23,4,0.2,556.72
ORD-10080,2025-11-13,2025-11-14,CUST-923,Customer_239,Corporate,India,Bengaluru,Karnataka,South,Furniture,Storage,Storage Product 87,2232.45,8,0.1,238.44
ORD-10081,2025-04-12,2025-04-17,CUST-303,Customer_197,Corporate,India,Mumbai,Maharashtra,West,Furniture,Tables,Tables Product 14,14816.01,5,0.15,3120.86
ORD-10082,2025-11-05,2025-11-12,CUST-381,Customer_5,Home Office,India,Pune,Maharashtra,West,Office Supplies,Paper,Paper Product 111,8664.7,5,0.0,2946.65
ORD-10083,2025-09-27,2025-10-02,CUST-794,Customer_338,Home Office,India,Patna,Bihar,East,Furniture,Chairs,Chairs Product 108,9145.27,6,0.05,1705.39
ORD-10084,2024-05-14,2024-05-16,CUST-402,Customer_168,Home Office,India,Mumbai,Maharashtra,West,Office Supplies,Appliances,Appliances Product 54,687.4,8,0.0,110.54
ORD-10085,2024-10-06,2024-10-09,CUST-363,Customer_247,Corporate,India,Mumbai,Maharashtra,West,Technology,Copiers,Copiers Product 96,13159.26,6,0.2,1655.54
ORD-10086,2025-07-24,2025-07-30,CUST-192,Customer_203,Consumer,India,Bhopal,Madhya Pradesh,Central,Furniture,Chairs,Chairs Product 34,2197.28,4,0.15,736.69
ORD-10087,2025-10-15,2025-10-21,CUST-210,Customer_346,Consumer,India,Patna,Bihar,East,Furniture,Storage,Storage Product 61,11260.27,5,0.2,804.68
ORD-10088,2024-04-29,2024-05-02,CUST-146,Customer_20,Corporate,India,Patna,Bihar,East,Office Supplies,Binders,Binders Product 64,9750.02,8,0.1,1873.54
ORD-10089,2025-12-14,2025-12-21,CUST-701,Customer_80,Corporate,India,Kolkata,West Bengal,East,Technology,Copiers,Copiers Product 84,2121.39,8,0.1,427.92
ORD-10090,2024-08-10,2024-08-18,CUST-555,Customer_121,Corporate,India,Patna,Bihar,East,Office Supplies,Paper,Paper Product 13,14091.89,5,0.0,2968.12
ORD-10091,2024-08-05,2024-08-06,CUST-151,Customer_171,Consumer,India,Nagpur,Maharashtra,Central,Technology,Accessories,Accessories Product 17,4210.63,2,0.15,-247.36
ORD-10092,2025-09-02,2025-09-03,CUST-383,Customer_75,Consumer,India,Mumbai,Maharashtra,West,Office Supplies,Binders,Binders Product 70,8837.11,4,0.1,2195.72
ORD-10093,2024-08-31,2024-09-06,CUST-116,Customer_90,Corporate,India,Bhopal,Madhya Pradesh,Central,Technology,Copiers,Copiers Product 7,13010.07,3,0.0,796.33
ORD-10094,2025-06-09,2025-06-11,CUST-562,Customer_258,Consumer,India,Pune,Maharashtra,West,Office Supplies,Binders,Binders Product 79,11210.41,8,0.15,2803.81
ORD-10095,2025-03-12,2025-03-14,CUST-602,Customer_228,Consumer,India,Patna,Bihar,East,Furniture,Storage,Storage Product 116,14463.99,1,0.15,4068.49
ORD-10096,2025-07-15,2025-07-21,CUST-490,Customer_306,Home Office,India,Patna,Bihar,East,Office Supplies,Binders,Binders Product 38,1078.67,5,0.2,199.43
ORD-10097,2024-08-21,2024-08-28,CUST-447,Customer_233,Corporate,India,Chennai,Tamil Nadu,South,Technology,Copiers,Copiers Product 54,1804.77,9,0.05,168.8
ORD-10098,2025-04-30,2025-05-02,CUST-193,Customer_44,Consumer,India,Patna,Bihar,East,Furniture,Tables,Tables Product 56,10010.11,6,0.05,2092.81
ORD-10099,2024-05-05,2024-05-12,CUST-462,Customer_341,Corporate,India,Patna,Bihar,East,Technology,Copiers,Copiers Product 112,993.72,9,0.2,48.04
ORD-10100,2025-11-03,2025-11-11,CUST-329,Customer_56,Corporate,India,Patna,Bihar,East,Office Supplies,Paper,Paper Product 109,5339.53,10,0.2,-22.79
ORD-10101,2025-09-28,2025-09-29,CUST-723,Customer_337,Home Office,India,Bhopal,Madhya Pradesh,Central,Furniture,Storage,Storage Product 35,3469.77,7,0.2,1174.68
ORD-10102,2024-05-26,2024-06-02,CUST-171,Customer_73,Home Office,India,Kolkata,West Bengal,East,Furniture,Storage,Storage Product 82,11459.9,6,0.1,-1114.5
ORD-10103,2025-01-13,2025-01-18,CUST-838,Customer_167,Home Office,India,Kolkata,West Bengal,East,Office Supplies,Appliances,Appliances Product 77,3305.48,7,0.15,176.52
ORD-10104,2025-11-08,2025-11-15,CUST-597,Customer_311,Corporate,India,Kolkata,West Bengal,East,Technology,Phones,Phones Product 54,11341.09,1,0.0,254.57
ORD-10105,2025-08-30,2025-09-07,CUST-639,Customer_342,Corporate,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Binders,Binders Product 6,5243.08,2,0.1,1075.87
ORD-10106,2024-09-18,2024-09-23,CUST-435,Customer_62,Consumer,India,Pune,Maharashtra,West,Office Supplies,Binders,Binders Product 64,214.54,5,0.05,52.63
ORD-10107,2025-11-15,2025-11-21,CUST-173,Customer_204,Home Office,India,Bengaluru,Karnataka,South,Technology,Accessories,Accessories Product 6,8035.48,4,0.2,1216.78
ORD-10108,2025-12-27,2026-01-03,CUST-396,Customer_59,Corporate,India,Bengaluru,Karnataka,South,Furniture,Chairs,Chairs Product 3,12945.44,10,0.15,2045.77
ORD-10109,2024-04-18,2024-04-22,CUST-546,Customer_302,Corporate,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Paper,Paper Product 68,12497.19,6,0.0,1206.23
ORD-10110,2025-10-10,2025-10-12,CUST-643,Customer_262,Consumer,India,Patna,Bihar,East,Furniture,Storage,Storage Product 116,5158.75,6,0.05,-338.57
ORD-10111,2024-07-21,2024-07-24,CUST-716,Customer_79,Home Office,India,Nagpur,Maharashtra,Central,Office Supplies,Appliances,Appliances Product 10,12244.05,4,0.0,-417.52
ORD-10112,2025-10-01,2025-10-07,CUST-984,Customer_322,Corporate,India,Pune,Maharashtra,West,Furniture,Storage,Storage Product 20,11422.17,8,0.2,2162.75
ORD-10113,2025-06-03,2025-06-05,CUST-417,Customer_237,Corporate,India,Bengaluru,Karnataka,South,Furniture,Tables,Tables Product 5,9507.64,5,0.2,-710.44
ORD-10114,2025-01-28,2025-02-05,CUST-694,Customer_284,Home Office,India,Patna,Bihar,East,Furniture,Chairs,Chairs Product 115,9705.53,2,0.2,1624.08
ORD-10115,2024-03-04,2024-03-12,CUST-205,Customer_176,Home Office,India,Patna,Bihar,East,Office Supplies,Appliances,Appliances Product 11,2904.77,10,0.15,364.88
ORD-10116,2024-06-11,2024-06-17,CUST-481,Customer_145,Corporate,India,Mumbai,Maharashtra,West,Technology,Copiers,Copiers Product 53,6622.6,8,0.2,895.62
ORD-10117,2025-01-30,2025-02-04,CUST-358,Customer_337,Home Office,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Appliances,Appliances Product 112,5086.28,6,0.0,768.45
ORD-10118,2025-12-16,2025-12-23,CUST-232,Customer_305,Home Office,India,Pune,Maharashtra,West,Technology,Copiers,Copiers Product 11,9987.82,6,0.1,3350.55
ORD-10119,2025-03-09,2025-03-15,CUST-118,Customer_186,Corporate,India,Nagpur,Maharashtra,Central,Office Supplies,Paper,Paper Product 24,12216.45,9,0.0,2329.81
ORD-10120,2024-04-13,2024-04-14,CUST-777,Customer_173,Home Office,India,Pune,Maharashtra,West,Furniture,Chairs,Chairs Product 17,3475.49,3,0.05,-226.87
ORD-10121,2024-02-14,2024-02-21,CUST-473,Customer_347,Home Office,India,Bengaluru,Karnataka,South,Technology,Phones,Phones Product 31,12487.04,10,0.05,2803.74
ORD-10122,2025-04-25,2025-04-29,CUST-476,Customer_348,Home Office,India,Chennai,Tamil Nadu,South,Office Supplies,Paper,Paper Product 57,3586.64,4,0.1,1199.8
ORD-10123,2024-05-21,2024-05-26,CUST-153,Customer_329,Corporate,India,Chennai,Tamil Nadu,South,Furniture,Storage,Storage Product 112,7959.15,3,0.05,2073.89
ORD-10124,2024-10-06,2024-10-14,CUST-625,Customer_76,Corporate,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Appliances,Appliances Product 12,12782.37,5,0.0,3111.26
ORD-10125,2025-01-30,2025-02-01,CUST-483,Customer_115,Consumer,India,Pune,Maharashtra,West,Furniture,Chairs,Chairs Product 41,6281.96,7,0.2,428.95
ORD-10126,2025-04-25,2025-05-03,CUST-730,Customer_3,Consumer,India,Patna,Bihar,East,Technology,Phones,Phones Product 3,670.72,8,0.05,161.96
ORD-10127,2024-10-22,2024-10-26,CUST-408,Customer_63,Consumer,India,Bhopal,Madhya Pradesh,Central,Technology,Copiers,Copiers Product 31,14109.37,10,0.2,1276.4
ORD-10128,2025-10-09,2025-10-13,CUST-835,Customer_74,Corporate,India,Chennai,Tamil Nadu,South,Technology,Phones,Phones Product 55,12566.65,8,0.2,1774.72
ORD-10129,2024-03-10,2024-03-11,CUST-499,Customer_241,Consumer,India,Patna,Bihar,East,Technology,Copiers,Copiers Product 82,6306.86,2,0.2,2135.47
ORD-10130,2025-11-03,2025-11-05,CUST-890,Customer_298,Home Office,India,Chennai,Tamil Nadu,South,Furniture,Storage,Storage Product 97,342.01,2,0.1,2.91
ORD-10131,2025-05-05,2025-05-08,CUST-930,Customer_70,Consumer,India,Bhopal,Madhya Pradesh,Central,Technology,Accessories,Accessories Product 92,8235.6,3,0.15,2811.38
ORD-10132,2024-11-13,2024-11-20,CUST-934,Customer_279,Corporate,India,Bengaluru,Karnataka,South,Furniture,Chairs,Chairs Product 33,752.71,4,0.0,31.63
ORD-10133,2025-01-11,2025-01-18,CUST-509,Customer_226,Corporate,India,Kolkata,West Bengal,East,Furniture,Tables,Tables Product 44,12945.86,1,0.1,297.07
ORD-10134,2025-03-10,2025-03-12,CUST-540,Customer_309,Consumer,India,Pune,Maharashtra,West,Office Supplies,Paper,Paper Product 70,5573.47,9,0.1,1451.98
ORD-10135,2025-03-12,2025-03-15,CUST-806,Customer_228,Corporate,India,Nagpur,Maharashtra,Central,Technology,Phones,Phones Product 58,4986.01,5,0.1,501.9
ORD-10136,2025-02-19,2025-02-25,CUST-625,Customer_348,Consumer,India,Patna,Bihar,East,Office Supplies,Paper,Paper Product 4,4190.87,1,0.0,846.69
ORD-10137,2025-08-03,2025-08-04,CUST-719,Customer_79,Home Office,India,Pune,Maharashtra,West,Technology,Phones,Phones Product 58,1101.78,6,0.1,79.64
ORD-10138,2025-10-27,2025-11-01,CUST-355,Customer_59,Consumer,India,Nagpur,Maharashtra,Central,Furniture,Chairs,Chairs Product 95,8651.43,9,0.1,684.46
ORD-10139,2025-12-21,2025-12-29,CUST-319,Customer_314,Corporate,India,Pune,Maharashtra,West,Office Supplies,Paper,Paper Product 89,13711.78,2,0.1,3410.59
ORD-10140,2025-03-31,2025-04-02,CUST-929,Customer_350,Corporate,India,Bengaluru,Karnataka,South,Technology,Phones,Phones Product 86,12807.11,8,0.05,3898.56
ORD-10141,2025-12-18,2025-12-21,CUST-912,Customer_186,Home Office,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Appliances,Appliances Product 29,4426.4,5,0.05,975.2
ORD-10142,2025-01-12,2025-01-20,CUST-922,Customer_283,Consumer,India,Kolkata,West Bengal,East,Technology,Phones,Phones Product 79,11876.56,1,0.1,1773.28
ORD-10143,2025-02-23,2025-02-25,CUST-228,Customer_163,Home Office,India,Kolkata,West Bengal,East,Furniture,Tables,Tables Product 10,14993.97,8,0.2,1272.36
ORD-10144,2024-05-12,2024-05-19,CUST-614,Customer_29,Consumer,India,Chennai,Tamil Nadu,South,Office Supplies,Appliances,Appliances Product 67,5233.27,9,0.2,-94.81
ORD-10145,2025-06-15,2025-06-20,CUST-966,Customer_41,Corporate,India,Pune,Maharashtra,West,Technology,Phones,Phones Product 26,4907.65,4,0.1,1601.7
ORD-10146,2025-08-29,2025-09-01,CUST-275,Customer_338,Home Office,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Paper,Paper Product 93,9254.98,2,0.2,1744.05
ORD-10147,2025-08-08,2025-08-15,CUST-732,Customer_328,Consumer,India,Bhopal,Madhya Pradesh,Central,Technology,Phones,Phones Product 64,777.38,10,0.1,150.04
ORD-10148,2025-12-06,2025-12-07,CUST-261,Customer_226,Corporate,India,Nagpur,Maharashtra,Central,Furniture,Chairs,Chairs Product 62,12089.85,7,0.1,1258.49
ORD-10149,2024-05-13,2024-05-19,CUST-627,Customer_288,Consumer,India,Bengaluru,Karnataka,South,Furniture,Storage,Storage Product 41,2240.66,6,0.1,759.4
ORD-10150,2025-01-28,2025-02-04,CUST-354,Customer_82,Corporate,India,Pune,Maharashtra,West,Technology,Accessories,Accessories Product 120,6798.98,3,0.0,-525.07
ORD-10151,2025-05-24,2025-05-25,CUST-192,Customer_202,Home Office,India,Bhopal,Madhya Pradesh,Central,Technology,Accessories,Accessories Product 59,14939.94,8,0.15,4416.01
ORD-10152,2025-10-31,2025-11-08,CUST-392,Customer_275,Consumer,India,Mumbai,Maharashtra,West,Office Supplies,Paper,Paper Product 109,825.01,5,0.15,139.33
ORD-10153,2024-02-22,2024-02-26,CUST-471,Customer_284,Corporate,India,Patna,Bihar,East,Technology,Accessories,Accessories Product 10,10939.87,7,0.1,-871.26
ORD-10154,2024-04-09,2024-04-16,CUST-482,Customer_174,Home Office,India,Chennai,Tamil Nadu,South,Office Supplies,Paper,Paper Product 47,12397.14,10,0.2,-576.9
ORD-10155,2025-12-31,2026-01-06,CUST-923,Customer_243,Home Office,India,Mumbai,Maharashtra,West,Office Supplies,Appliances,Appliances Product 59,6080.67,1,0.0,-501.59
ORD-10156,2024-11-02,2024-11-08,CUST-619,Customer_261,Home Office,India,Mumbai,Maharashtra,West,Furniture,Storage,Storage Product 63,4846.1,7,0.2,1127.66
